"clean_school","Conference"
"Miami (OH)","MAC"
"Michigan","Big Ten"
"Michigan State","Big Ten"
"Middle Tennessee","CUSA"
"Milwaukee","Horizon"
"Minnesota","Big Ten"
"Ole Miss","SEC"
"Ole Miss","SEC"
"Mississippi State","SEC"
"Mississippi Valley State","SWAC"
"Missouri","SEC"
"UMKC","WAC"
"Missouri State","MVC"
"Monmouth","MAAC"
"Montana","Big Sky"
"Montana State","Big Sky"
"Morehead State","OVC"
"Morgan State","MEAC"
"Mount St. Mary's","NEC"
"Murray State","OVC"
"Navy","Patriot"
"Nebraska","Big Ten"
"Omaha","Summit"
"Nevada","MWC"
"UNLV","MWC"
"New Hampshire","AEC"
"New Mexico","MWC"
"New Mexico State","WAC"
"New Orleans","Southland"
"Niagara","MAAC"
"Nicholls State","Southland"
"NJIT","A-Sun"
"Norfolk State","MEAC"
"UNC","ACC"
"UNC Asheville","Big South"
"North Carolina A&T","MEAC"
"North Carolina Central","MEAC"
"UNC Greensboro","Southern"
"NC State","ACC"
"UNC Wilmington","CAA"
"North Dakota","Big Sky"
"North Dakota State","Summit"
"North Florida","A-Sun"
"North Texas","CUSA"
"Northeastern","CAA"
"Northern Arizona","Big Sky"
"Northern Colorado","Big Sky"
"Northern Illinois","MAC"
"Northern Iowa","MVC"
"Northern Kentucky","Horizon"
"Northwestern","Big Ten"
"Northwestern State","Southland"
"Notre Dame","ACC"
"Oakland","Horizon"
"Ohio","MAC"
"Ohio State","Big Ten"
"Oklahoma","Big 12"
"Oklahoma State","Big 12"
"Old Dominion","CUSA"
"Oral Roberts","Summit"
"Oregon","Pac-12"
"Oregon State","Pac-12"
"Pacific","WCC"
"Penn State","Big Ten"
"Penn","Ivy"
"Pepperdine","WCC"
"Pitt","ACC"
"Portland","WCC"
"Portland State","Big Sky"
"Prairie View","SWAC"
"Presbyterian","Big South"
"Princeton","Ivy"
"Providence","Big East"
"Purdue","Big Ten"
"Quinnipiac","MAAC"
"Radford","Big South"
"Rhode Island","A-10"
"Rice","CUSA"
"Richmond","A-10"
"Rider","MAAC"
"Robert Morris","NEC"
"Rutgers","Big Ten"
"Sacramento State","Big Sky"
"Sacred Heart","NEC"
"Saint Francis (PA)","NEC"
"St. Joseph's","A-10"
"Saint Louis","A-10"
"Saint Mary's","WCC"
"St. Peter's","MAAC"
"Sam Houston State","Southland"
"Samford","Southern"
"San Diego","WCC"
"San Diego State","MWC"
"San Francisco","WCC"
"San Jose State","MWC"
"Santa Clara","WCC"
"Savannah State","MEAC"
"Seattle","WAC"
"Seton Hall","Big East"
"Siena","MAAC"
"South Alabama","Sun Belt"
"South Carolina","SEC"
"South Carolina State","MEAC"
"USC Upstate","A-Sun"
"South Dakota","Summit"
"South Dakota State","Summit"
"South Florida","AAC"
"Southeast Missouri State","OVC"
"Southeastern Louisiana","Southland"
"Southern","SWAC"
"USC","Pac-12"
"Southern Illinois","MVC"
"SIU-Edwardsville","OVC"
"SMU","AAC"
"Southern Miss","CUSA"
"Southern Utah","Big Sky"
"St. Bonaventure","A-10"
"St. Francis (NY)","NEC"
"St. John's (NY)","Big East"
"Stanford","Pac-12"
"Stephen F. Austin","Southland"
"Stetson","A-Sun"
"Stony Brook","AEC"
"Syracuse","ACC"
"Temple","AAC"
"Tennessee","SEC"
"UT-Martin","OVC"
"Tennessee State","OVC"
"Tennessee Tech","OVC"
"Texas","Big 12"
"Texas A&M","SEC"
"Texas A&M-Corpus Christi","Southland"
"Texas-Arlington","Sun Belt"
"TCU","Big 12"
"UTEP","CUSA"
"UTEP","CUSA"
"Texas-Rio Grande Valley","WAC"
"UTSA","CUSA"
"Texas Southern","SWAC"
"Texas State","Sun Belt"
"Texas Tech","Big 12"
"Toledo","MAC"
"Towson","CAA"
"Troy","Sun Belt"
"Tulane","AAC"
"Tulsa","AAC"
"UCLA","Pac-12"
"Utah","Pac-12"
"Utah State","MWC"
"Utah Valley","WAC"
"Valparaiso","MVC"
"Vanderbilt","SEC"
"Vermont","AEC"
"Villanova","Big East"
"Virginia","ACC"
"VCU","A-10"
"VMI","Southern"
"Virginia Tech","ACC"
"Wagner","NEC"
"Wake Forest","ACC"
"Washington","Pac-12"
"Washington State","Pac-12"
"Weber State","Big Sky"
"West Virginia","Big 12"
"Western Carolina","Southern"
"Western Illinois","Summit"
"Western Kentucky","CUSA"
"Western Michigan","MAC"
"Wichita State","AAC"
"William & Mary","CAA"
"Winthrop","Big South"
"Wisconsin","Big Ten"
"Wofford","Southern"
"Wright State","Horizon"
"Wyoming","MWC"
"Xavier","Big East"
"Yale","Ivy"
"Youngstown State","Horizon"
"",""
